阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_hub3e22/practice/liaozhai_stories/yingning/yingning.txt
检出条目数：116

序号	字/词	拼音	简注	出现次数	原文词例
65	瓜葛	guā gé	牵连；也指亲戚关系。	1	”生曰：“我所谓爱，非瓜葛之爱，乃夫妻之爱。
66	周遮	zhōu zhē	啰嗦纠缠。	1	媪曰：“饭熟已久，有何长言，周遮乃尔？
67	讳	huì	避忌、不直说。	1	且寝处亦常事，何讳之？
68	踪兆	zōng zhào	踪迹、征兆。	1	先是，母待生久不归，始疑，村中搜觅几遍，竟无踪兆。
69	曩	nǎng	先前、从前。	2	吴忆曩言，因教于西南山村行觅。
70	匪伊朝夕	fěi yī zhāo xī	不是一天两天；形容心愿已久。	1	媪喜曰：“我有志，匪伊朝夕。
71	冗人	rǒng rén	闲散无用之人；文中谦称。	1	”又饷家人酒食，始送之出曰：“姨家田产丰裕，能养冗人。
72	山坳	shān ào	山间低洼处。	1	至山坳，回顾，犹依稀见媪倚门北望也。
73	姝丽	shū lì	美丽。	1	抵家，母睹姝丽，惊问为谁，生以姨女对。
74	殂谢	cú xiè	死亡。	1	”母曰：“我一姊适秦氏，良确，然殂谢已久，那得复存？
75	志赘	zhì zhuì	痣和赘疣等特征。	1	”因审诘面庞、志赘，一一符合。
76	亟	jí	急切、赶快。	1	”生然之，吴亟称怪事。
77	鳏居	guān jū	男子丧妻独居。	1	问所自知，吴曰：“秦家姑去世后，姑丈鳏居，祟于狐，病瘠死。
78	祟	suì	鬼神作祸。	1	问所自知，吴曰：“秦家姑去世后，姑丈鳏居，祟于狐，病瘠死。
79	绷卧	bēng wò	襁褓中躺卧。	1	狐生女，名婴宁，绷卧床上，家人皆见之。
80	骇	hài	惊怕。	2	母疑其为鬼，入告吴言，女略无骇意。
81	孜孜	zī zī	不倦、不停的样子。	2	又吊其无家，亦殊无悲意，孜孜憨笑而已。
82	昧爽	mèi shuǎng	拂晓。	1	昧爽即来省问，操女红精巧绝伦。
83	女红	nǚ gōng	女子针线活。	1	昧爽即来省问，操女红精巧绝伦。
84	嫣然	yān rán	美好地笑。	1	但善笑，禁之亦不可止，然笑处嫣然，狂而不损其媚，人皆乐之。
85	合卺	hé jǐn	古代婚礼仪式，后泛指成婚。	1	母择吉将为合卺，而终恐为鬼物。
86	鞭楚	biān chǔ	鞭打责罚。	1	奴婢小过，恐遭鞭楚，辄求诣母共话，罪婢投见，恒得免。
87	诣	yì	到、前往。	1	奴婢小过，恐遭鞭楚，辄求诣母共话，罪婢投见，恒得免。
88	戚党	qī dǎng	亲族乡党。	1	而爱花成癖，物色遍戚党，窃典金钗，购佳种，数月，阶砌藩溷，无非花者。
89	藩溷	fān hùn	篱笆和厕所。	1	而爱花成癖，物色遍戚党，窃典金钗，购佳种，数月，阶砌藩溷，无非花者。
90	诃	hē	呵斥、责骂。	1	母时遇见，辄诃之，女卒不改。
91	淫	yín	淫乱；文中指非礼侵犯。	1	就而淫之，则阴如锥刺，痛彻于心，大号而踣。
92	踣	bó	跌倒。	1	就而淫之，则阴如锥刺，痛彻于心，大号而踣。
93	爇	ruò	点燃、焚烧。	1	爇火烛窍，见中有巨蝎，如小蟹然，翁碎木捉杀之。
94	讼	sòng	诉讼、告状。	2	邻人讼生，讦发婴宁妖异。
95	讦发	jié fā	揭发。	1	邻人讼生，讦发婴宁妖异。
96	邑宰	yì zǎi	县令。	1	邑宰素仰生才，稔知其笃行士，谓邻翁讼诬，将杖责之。
97	稔知	rěn zhī	熟知。	1	邑宰素仰生才，稔知其笃行士，谓邻翁讼诬，将杖责之。
98	笃行	dǔ xíng	品行敦厚。	1	邑宰素仰生才，稔知其笃行士，谓邻翁讼诬，将杖责之。
99	杖责	zhàng zé	用杖责打。	1	邑宰素仰生才，稔知其笃行士，谓邻翁讼诬，将杖责之。
100	鹘突	hú tū	糊涂。	1	邑令神明，幸不牵累，设鹘突官宰，必逮妇女质公堂，我儿何颜见戚里？
101	逮	dài	拘捕。	1	邑令神明，幸不牵累，设鹘突官宰，必逮妇女质公堂，我儿何颜见戚里？
102	矢	shǐ	发誓。	1	”女正色，矢不复笑。
103	戚容	qī róng	忧伤的神色。	1	”而女由是竟不复笑，虽故逗，亦终不笑，然竟日未尝有戚容。
104	零涕	líng tì	落泪。	1	一夕，对生零涕。
105	哽咽	gěng yè	哭泣而语声阻塞。	1	女哽咽曰：“曩以相从日浅，言之恐致骇怪。
106	岑寂	cén jì	寂静。	1	老母岑寂山阿，无人怜而合厝之，九泉辄为悼恨。
107	山阿	shān ē	山脚或山坳。	1	老母岑寂山阿，无人怜而合厝之，九泉辄为悼恨。
108	合厝	hé cuò	合葬。	1	老母岑寂山阿，无人怜而合厝之，九泉辄为悼恨。
109	怨恫	yuàn dòng	怨痛。	1	君倘不惜烦费，使地下人消此怨恫，庶养女者不忍溺弃。
110	舆榇	yú chèn	载棺而行。	1	刻日，夫妻舆榇而往。
111	舁	yú	抬。	1	舁归，寻秦氏墓合葬焉。
112	寤	wù	睡醒。	1	是夜，生梦媪来称谢，寤而述之。
113	黠	xiá	狡黠、聪慧。	2	……能久居？”生问小荣，曰：“是亦狐，最黠，狐母留以视妾，每摄饵相哺，故德之……
114	摄饵	shè ěr	寻取食物。	1	……曰：“是亦狐，最黠，狐母留以视妾，每摄饵相哺，故德之，常不去心。昨问母，……
115	哺	bǔ	喂养。	1	……是亦狐，最黠，狐母留以视妾，每摄饵相哺，故德之，常不去心。昨问母，云已嫁……
116	寒食	hán shí	清明前一二日的传统节日。	1	”由是岁值寒食，夫妻登秦墓，拜扫无缺。
