term,pinyin,type,annotation
卯,mǎo,text,甲骨卜辞中一种剖开悬挂人牲或牲畜的祭祀方式。
笄,jī,rare_word,古代束发用的簪子。
璜,huáng,rare_word,半璧形玉器。
肢解,zhī jiě,concept,将肢体切割分解。
蜷曲,quán qū,rare_word,身体弯曲缩成一团。
拦腰,lán yāo,rare_word,从腰部横截。
俯身,fǔ shēn,concept,身体向前伏下。
屈膝,qū xī,concept,弯曲膝部。
蜷身,quán shēn,concept,身体蜷缩的姿势。
捆绑,kǔn bǎng,concept,用绳索等束缚身体。
割喉,gē hóu,concept,割断喉部。
下颌,xià hé,concept,下颌部位。
下颌骨,xià hé gǔ,concept,下颌部骨骼。
胯部,kuà bù,concept,腰与大腿之间的部位。
青铜礼器,qīng tóng lǐ qì,bronze_item,用于礼仪或祭祀的青铜器。
铜鼎,tóng dǐng,bronze_item,青铜鼎，古代炊煮或礼仪重器。
铜爵,tóng jué,bronze_item,青铜爵，古代酒器。
铜斝,tóng jiǎ,bronze_item,青铜斝，古代三足酒器。
铜戈,tóng gē,bronze_item,青铜戈，古代横刃长柄兵器。
铜刀,tóng dāo,bronze_item,青铜刀。
铜镞,tóng zú,bronze_item,青铜箭头。
铜觚,tóng gū,bronze_item,古代饮酒器；若正文作近形误字，需对照原书核实。
鼎铭,dǐng míng,text,铸刻在鼎上的铭文。
铭文,míng wén,text,器物上铸刻或刻写的文字。
龟甲兽骨,guī jiǎ shòu gǔ,text,占卜用龟甲和兽骨，甲骨文载体。
卦爻辞,guà yáo cí,text,《易经》中解释卦、爻的辞句。
含章,hán zhāng,text,《易经》坤卦爻辞，文中据高亨释为“翦商”。
可贞,kě zhēn,text,可通过占卜预测或问卜。
翦商,jiǎn shāng,text,剪除商朝，文中为全书核心主题。
周昌,zhōu chāng,person,周文王之名。
周公旦,zhōu gōng dàn,person,西周初年政治家，文中指其取缔人祭风俗。
纣王,zhòu wáng,person,商末王，文中讨论其暴虐和人祭。
郭沫若,guō mò ruò,person,现代学者，文中涉及其对后冈H10的判断。
王国维,wáng guó wéi,person,现代学者，文中引用《说珏朋》。
高亨,gāo hēng,person,文史学者，文中引用其对《易经》的解释。
玄奘,xuán zàng,person,唐代僧人，文中涉及其遭遇人祭险境。
突伽天神,tū jiā tiān shén,text,玄奘传记中土著祭祀对象名。
阿兹特克,ā zī tè kè,site_or_culture,中美洲古代文明，文中讨论其人祭。
玛雅,mǎ yǎ,site_or_culture,中美洲古代文明。
米诺斯,mǐ nuò sī,site_or_culture,克里特岛青铜时代文明。
克里特岛,kè lǐ tè dǎo,place,地中海岛屿，文中涉及古代人祭遗迹。
角斗士,jué dòu shì,concept,古罗马竞技表演中的搏斗者。
酋邦,qiú bāng,concept,介于部落和国家之间的复杂社会组织。
巫术,wū shù,concept,借助神秘仪式影响现实的信仰行为。
人奠基,rén diàn jī,concept,将人夯筑在地基内作为建筑奠基祭祀。
奠基,diàn jī,concept,建筑开始时的基础仪式或基础施工。
人文主义,rén wén zhǔ yì,concept,以人和现实生活为中心的思想立场。
