term,pinyin,type,annotation
噣,zhuò,rare_word,「噣」是一個罕用漢字，基本意思是鳥類的嘴巴，通「咮」或「啄」。您可以參考教育部重編國語辭典修訂本了解詳細字義。字音與字義zhòu（ㄓㄡˋ）：本義為鳥嘴、鳥喙，也同「咮」；古天文中也是二十八宿裡「柳宿」的別名。zhuó（ㄓㄨㄛˊ）：古同「啄」，指鳥類用嘴巴取食。zhú（ㄓㄨˊ）：指某些特定的鳥名。dú（ㄉㄨˊ）：古代星名「畢星」的別名
廧,qiáng,added,「廧」是一個罕見的中文字，讀音為ㄑㄧㄤˊ (qiáng) 或 ㄙㄜˋ (sè)，意思是牆壁或通「嗇」。詳細資訊可參考 教育部重編國語辭典修訂本。基本資料部首：广部（外划13划，總筆畫16划）五筆：YFWK (86)字義與讀音ㄑㄧㄤˊ (qiáng)：同「牆」，指用磚、石砌成的屏障或牆垣。ㄙㄜˋ (sè)：古同「嗇」，有吝惜、儉樸的意思。
谥,shì,added,"谥 shì （謚）（諡）
名 古代帝王、贵族、大臣或其他有地位的人死后，依其生前事迹所给予的带有褒贬意义的称号。
谥号 | 谥法（评定谥号的法则）。"
姊,zǐ,added,"姊 zǐ （姉）
名 姐姐。
姊妹"
笥,sì,added,"笥 sì
名 古代盛饭食或衣物的方形竹器。"
胄,zhòu,added,"胄 | zhòu | | 粵拼 zau6 就 |
① 古代帝王或貴族的後代
冑裔 | 貴胄 | 華胄。
② 古代戰士所戴的頭盔
甲胄。"
荀栎,xún lì,added,您输入的“荀栎”一般指春秋时期晋国政治人物荀跞（又作荀栎、知跞、智文子），他是晋国六卿之一、智氏的领袖。如果您指的是植物中的“栎树”（如槲栎），则属于壳斗科植物。荀跞生平简介身份背景：名跞（音lì），字或称知伯、智文子，是智悼子荀盈之子。保全家族：因父祖早亡，年幼时险遭晋平公废黜卿爵，后赖同宗中行吴庇护得以担任下军佐，保住智氏基业。平定王室：公元前516年，曾与赵鞅奉命率晋军进入周王城，迎周敬王回城，平定王室之乱。
畔,pàn,added,"畔 | pàn | | 粵拼 bun6 叛 |
① 田地的邊界
耕者不侵畔。
② 旁；邊
沉舟側畔千帆過，病樹前頭萬木春。
③ 同“叛”。背叛
百姓怨望而海內畔矣。"
枓,dǒu,added,"枓 | dǒu | | 粵拼 dau2 斗 |
見“枓栱”。"
湪,tuàn,added,“湪”是一个汉字，读音为 tuàn 或 nuǎn。它的主要意思是水名，也通“渜”，指热水。读音与解释tuàn（ㄊㄨㄢˋ）：指水名。nuǎn（ㄋㄨㄢˇ）：古同“渜”，指热水，特别是洗过澡用过的热水。
緤,xiè,added,緤，汉语汉字，读作xiè或yè，其本义为古同“绁”，绳索或缯帛番数。
荏,rěn,added,"荏 | rěn | | 粵拼 jam5 音5 |
① 一年生草本植物。花白色，種子可榨油。通稱白蘇。
② 軟弱
色厲內荏。"
毋,wú,added,"毋 | wú | | 粵拼 mou4 毛 |
① 不要；不可以。表示禁止
毋談國事 | 寧缺毋濫。
② 沒有
舍毋食客。
③ 姓。"
骜,ào,added,"骜 ào （驁）
①名 古代骏马名；比喻才能出众的人。
②形 马不驯服；比喻人傲慢、不顺服。
桀骜不驯"
袑,shào,added,「袑」是一個罕見的漢字，讀音為 shào（注音：ㄕㄠˋ）。它的本義是指褲子的上半部或褲襠，古籍中也偶爾指衣襟。詳細字義可參考教育部重編國語辭典修訂本。字源與基本資訊部首：衤（衣字旁）筆畫：11畫（或作10畫）字義：褲襠、褲子的上半部。古籍用例：見於《漢書·卷八三·朱博傳》：「官屬多褒衣大袑，不中節度。」形容當時官員穿著寬衣大褲、不合規範的樣子。
鄚,mào,added,"鄚 mào
名 鄚州，地名，在河北。"
餤,dàn,added,「餤」讀作 dàn（或 tán），本義為進食、吃，也指一種古老的肉卷薄餅，或是用好處誘惑人。詳細字義可參考教育部重編國語辭典修訂本。字義與解釋動詞（吃、進食）同「啖」或「啗」，指吃東西。亦有進獻、引誘、以利相誘的意思。名詞（餅食）指一種古時候包肉的薄餅，可以切開來進獻給別人。唐代時，朝廷曾以「紅綾餤」賞賜給新科進士。
巠,jīng,added,"巠 jīng （巠）
〈文〉
名 地下水脉。"
裻,dú,added,"「裻」是一個罕見的漢字，讀音為 ㄉㄨˊ (dú)，部首為「衣」部，總筆畫為 14 畫。字義與解釋衣背縫：指衣服背面的中縫或接縫處。新衣聲：穿新衣服時發出的聲音。裻基本解释●裻dú ㄉㄨˊ 衣背缝。 裻dǔ ㄉㄨˇ 名衣被接缝处。 「是故使申生伐东山,衣之偏裻之衣,佩之以金玦。」"
嬖,bì,added,"嬖 | bì | | 粵拼 bai3 閉 |
① 寵愛；寵倖
嬖臣 | 嬖妾 | 嬖女。
② 受寵愛的人
寵嬖。"
恤,xù,added,"恤 xù （䘏）（賉）（卹）
①动 怜悯。
怜贫恤老 | 体恤 | 怜恤
②动 救济；周济。
抚恤 | 恤金"
谒,yè,added,"谒 yè （謁）
〈文〉
动 进见；拜见。
谒见 | 晋谒 | 拜谒 | 参谒"
哆,chǐ,added,"哆 chǐ
〈文〉
形 形容张嘴的样子。
哆口欲言
另见 duō。"
溷,hùn,added,"溷 hùn
〈文〉
名 猪圈；厕所。
猪溷 | 溷藩 | 溷厕"
貉,hé,added,"貉 háo
义同“貉（hé）”，用于“貉绒” “貉子”。
另见 hé；mò。
貉 hé
名 哺乳动物，外形像狐狸，尾毛蓬松，毛棕灰色。穴居于山林或田野中，昼伏夜出，食鱼、虾、鼠、蛙及野果等。通称貉子（háozi）。也说狗獾。
用法说明 hé 是文读，如“一丘之貉”；háo 是白读，如“貉子” “貉绒”；读 mò，是古代对北方一些少数民族的称呼。
另见 háo；mò。
貉 mò
名 古代称北方的一些民族。也作貊。
另见 háo；hé。"
